label,requirement,enriched_domain_tags,enriched_stakeholder,enriched_complexity_level,enriched_action_type
F,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,"['Inventory Management', 'Document Generation', 'Reporting']",User,Medium,Create
F,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,"['Inventory Management', 'Document Generation', 'Reporting']",User,Medium,Read
F,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,"['Inventory Management', 'Substitutionary Ingredients', 'Automated Adjustments']",User,High,Update
F,The System shall allow entering  storing and modifying product formulas.,"['Product Management', 'Formula Management', 'Data Storage']",User,Medium,Create
F,Product formulas shall allow use of semi-products  which have own formulas.,"['Product Management', 'Formula Management', 'Semi-Products']",User,Medium,Create
F,Product formula ingredients shall allow defining substitutionary ingredients.,"['Product Management', 'Formula Ingredients', 'Substitutionary Ingredients']",User,Medium,Create
F,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,"['PFE Subsystem', 'Substitutionary Ingredients', 'Automation']",Admin,High,Create
F,Formula substitutionary ingredients shall be kept in persisted order,"['Data Persistence', 'Substitutionary Ingredients', 'Order Management']",Security,Low,Update
F,Product shall allow entering  storing and modifying product menus used by POS terminals.,"['Product Menus', 'POS Terminals', 'Menu Management']",User,Medium,Create
F,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,"['PME Subsystem', 'Product Menus', 'Accounting System']",Admin,High,Read
F,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,"['PME Subsystem', 'Menu Management', 'Order Management']",User,Medium,Update
F,PME Subsystem shall allow for a product to exist in more than one submenu,"['PME Subsystem', 'Menu Management', 'Product Management']",User,Low,Create
F,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,"['RMS System', 'GUI', 'User Experience']",User,Medium,Other
F,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,"['Inventory Management', 'Document Generation', 'Sales Data']",Admin,High,Create
F,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,"['Inventory Management', 'Automation', 'Document Generation']",Admin,High,Create
PE,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,"['Payment', 'Administration', 'Card Management']",Admin,Medium,Update
PE,Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,"['Payment', 'Card Management', 'Customer Service']",User,Low,Read
PE,System shall let customers register on the website as a �pay as you go� user in under 5 minutes.,"['Registration', 'Payment', 'User Management']",User,Medium,Create
PE,System shall let customers register on the website as a �unlimited movie subscriber� user in under 10 minutes.,"['Registration', 'Subscription', 'User Management']",User,Medium,Create
PE,System shall let existing customers log into the website with their email address and password in under 5 seconds.,"['Authentication', 'Login', 'Security']",User,Low,Read
PE,System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,"['Account Management', 'Cancellation', 'User Management']",User,Medium,Update
PE,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,"['Account Management', 'Administration', 'User Management']",Admin,Medium,Update
PE,System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,"['Content Management', 'Administration', 'Movie Management']",Admin,High,Create
PE,System shall let the administrator add/remove categories on the website in under 5 minutes.,"['Content Management', 'Administration', 'Category Management']",Admin,High,Create
PE,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,"['Reporting', 'Analytics', 'Sales Management']",Manager,Low,Read
PE,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,"['Payment', 'Administration', 'Reporting']",Admin,Medium,Create
LF,The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,"['User Experience', 'Design', 'Branding']",User,Low,Other
LF,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,"['Cultural Adaptation', 'User Engagement', 'Design']",User,Medium,Other
LF,The website design should be modern  clean  and concise.,"['Design', 'User Experience', 'Branding']",User,Low,Other
US,The product should be able to be used by 90% of novice users on the Internet.,"['Usability', 'User Experience', 'Accessibility']",User,High,Other
US,Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,"['User Experience', 'Registration', 'Navigation']",User,Low,Create
US,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,"['Media Streaming', 'User Experience', 'Navigation']",User,Medium,Read
US,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,"['Market Research', 'Customer Satisfaction', 'Streaming Media']",User,High,Other
US,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,"['Market Research', 'Customer Satisfaction', 'Payment Systems']",User,High,Other
US,The product shall retain the customer�s buying preferences and information.,"['Data Storage', 'Customer Information', 'Personalization']",User,Medium,Update
US,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,"['E-commerce', 'Streaming', 'User Experience']",User,Medium,Create
US,The product shall use symbols and words that are naturally understandable by users familiar with websites,"['User Interface', 'User Experience', 'Web Design']",User,Low,Read
US,The website will use standard Internet conventions when interacting with the user.,"['Web Development', 'User Interface', 'Internet Standards']",User,Low,Other
PE,Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,"['Performance', 'System Design', 'User Experience']",User,Medium,Read
PE,When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,"['E-commerce', 'Payment Processing', 'Streaming']",User,Medium,Create
PE,When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user�s connection.),"['Streaming', 'Performance', 'User Experience']",User,High,Read
PE,While streaming a movie  buffering should only occur if there is latency in the user�s connection.,"['Streaming', 'Performance', 'Network Optimization']",User,High,Other
SE,All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,"['Security', 'Payment Processing', 'Data Protection']",Security,High,Update
A,The website shall be available for use 24 hours per day  365 days per year.,"['Availability', 'System Design', 'Web Development']",Admin,Medium,Other
A,The website shall achieve 99.5% up time.,"['Availability', 'System Design', 'Performance']",Admin,High,Other
A,All movies shall be streamed on demand  at any time of the day.,"['Streaming', 'On-demand', 'Movies']",User,Low,Read
FT,The website shall continue to operate if the streaming server goes down.,"['High Availability', 'Server', 'Fault Tolerance']",Admin,High,Other
FT,The website shall continue to operate if the payment gateway goes down.,"['E-commerce', 'Payment', 'High Availability']",Admin,High,Other
SC,The streaming server will support 50 simultaneous streaming connections.,"['Server', 'Streaming', 'Performance']",Admin,Medium,Other
SC,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,"['Server', 'Streaming', 'Scalability']",Admin,Medium,Other
SC,The server will support a maximum of 1 000 simultaneous users.,"['Server', 'Performance', 'Capacity']",Admin,Medium,Other
SC,The website shall be capable of supporting 100 000 customers.,"['Scalability', 'E-commerce', 'Performance']",Admin,High,Other
MN,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,"['Maintenance', 'Budget', 'Cost']",Legal,Low,Other
O,All aspects of the website shall be accessed by a web browser over the Internet.,"['Web', 'Accessibility', 'Internet']",User,Low,Read
O,The same hardware supporting the current website will be used to support the new system.,"['Infrastructure', 'Hardware', 'Reuse']",Admin,Low,Other
O,We must be able to interface with the following browsers: IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.,"['Browser Compatibility', 'Frontend Development', 'Technical Requirements']",User,Medium,Other
O,Website must interface with the CyberSource API to process credit card transactions.,"['Payment Gateway', 'E-commerce', 'API Integration']",User,High,Create
O,Website must be fully operational with MSN TV2.,"['Device Compatibility', 'Frontend Development', 'Technical Requirements']",User,Medium,Other
O,Movies shall be encoded and streamed via Windows Media Player 9.0.,"['Video Encoding', 'Streaming Media', 'Technical Requirements']",User,Medium,Create
O,Movies shall be encoded for 56k and 256k streams.,"['Video Encoding', 'Streaming Media', 'Technical Requirements']",User,Low,Create
MN,Promotional updates to the website should take a day to update.,"['Content Management', 'Backend Development', 'Time-to-Market']",Admin,Low,Update
PE,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,"['Content Management', 'Backend Development', 'Administrative Tasks']",Admin,Low,Update
PE,Izogn Administrator must be able to add new products to the website within 2 minutes.,"['Content Management', 'Backend Development', 'E-commerce']",Admin,Low,Create
A,The system will provide a 24 hour 800 toll free number for support to its customers.,"['Customer Support', 'Technical Support', 'Service Level Agreement']",User,High,Other
US,The website will provide a help section with answers and solutions to common problems.,"['Customer Support', 'Knowledge Base', 'User Experience']",User,Low,Read
A,Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.,"['Technical Support', 'Customer Service', 'IT']",Admin,Low,Other
O,The product shall be able to be installed in the specified environment within 1 working day.,"['System Installation', 'Environment Setup', 'Deployment']",Admin,Medium,Create
SE,Only registered customers can purchase streaming movies.,"['E-commerce', 'Customer Management', 'Streaming Services']",User,Low,Create
SE,A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,"['Digital Rights Management', 'Streaming Services', 'E-commerce']",User,Medium,Read
SE,Only authorized personnel can access customer records in the database.,"['Data Protection', 'Access Control', 'Customer Data']",Security,High,Read
SE,Only administrators can activate a pre-paid card.,"['Payment Processing', 'Access Control', 'Administration']",Admin,Low,Update
SE,Only authorized personnel can access sales information.,"['Sales Management', 'Access Control', 'Data Protection']",Security,High,Read
SE,The website shall prevent its data from being corrupted when incorrect data is entered in.,"['Data Validation', 'Error Handling', 'Data Protection']",Security,High,Other
SE,The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.,"['Security Measures', 'Abuse Prevention', 'Notification System']",Security,High,Other
SE,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,"['Data Integrity', 'Database Management', 'Maintenance']",Admin,Medium,Other
SE,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.,"['Data Privacy', 'Compliance', 'Security']",User,Medium,Read
SE,The system shall notify customers of changes to its information policy.,"['Information Policy', 'Compliance', 'Customer Notification']",Customer,Medium,Create
SE,The system shall reveal private information only in compliance with the organization�s information policy.,"['Data Privacy', 'Compliance', 'Security']",User,High,Read
SE,All customer information will be stored on a secure database  accessible only to authorized personnel.,"['Data Storage', 'Security', 'Compliance']",Admin,High,Create
SE,All credit card information will be encrypted in the database.,"['Data Encryption', 'Security', 'Compliance']",Customer,High,Update
SE,The streaming server will have anti-virus software to prevent infection of malicious viruses.,"['Server Security', 'Malware Protection', 'System Integrity']",Admin,Medium,Create
LF,The website should cater to all tribes in Nigeria.,"['Cultural Sensitivity', 'Geographic Targeting', 'User Experience']",User,Low,Other
LF,The website shall not be offensive to religious or ethnic groups.,"['Cultural Sensitivity', 'Inclusivity', 'Social Responsibility']",User,Low,Other
LF,The website should appeal to all Africans  not only Nigerians.,"['Geographic Targeting', 'User Experience', 'Market Expansion']",User,Low,Other
O,The website should use Flash to provide animation on the home page.,"['User Interface', 'User Experience', 'Front-end Development']",User,Low,Create
L,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,Licensing; Media Compliance; Content Distribution,Regulators; Legal Team; Content Providers,Medium,Ensure compliance
L,The website will comply with W3C standards.,Web Standards; Accessibility; Frontend Development,Developers; QA Team; Regulatory Bodies,Low,Comply with standards
L,The PHP code will comply with PEAR standards.,Code Quality; Backend Development; Maintainability,Developers; QA Team,Low,Follow coding standards
F,The website will allow customers to search for movies by title  actor  or director.,Search Functionality; UX; Content Retrieval,End Users; Developers,Medium,Enable content search
F,viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator.,Content Presentation; UI/UX; Media Information,End Users; Administrators,Low,Display content
F,Website shall request  and authorize credit card payment before allowing a user to stream a movie.,E-commerce; Payment Gateway; Security,End Users; Finance; Security Team,High,Process payments
F,shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,Media Streaming; DRM; Access Control,End Users; Content Providers,Medium,Allow controlled streaming
F,Website shall allow customers to browse movies by categories entered in by izogn administrator.,Content Navigation; UX; Media Catalog,End Users; Administrators,Low,Enable browsing
F,Website shall allow customers to view reviews of selected movies by other customers.,Social Interaction; Review System; Content Display,End Users,Low,Display user reviews
F,Website shall allow customers to add their own movie review for a selected movie.,User Engagement; Review System; Content Input,End Users,Medium,Allow user input
F,Website shall allow the Izogn administrator to approve a review posted by a customer.,"['Content Moderation', 'User Reviews', 'Administration']",Admin,Medium,Update
F,System will allow customers to pay for a streaming movie with a pre-paid card.,"['Payment Processing', 'Streaming Services', 'E-commerce']",User,Medium,Create
F,Website shall allow customers to purchase pre-paid cards of $5  $10  or $20 value either by credit card or mail-in payment option.,"['E-commerce', 'Payment Options', 'Pre-paid Services']",User,High,Create
F,System shall automatically update the main page of the website every Friday  and show the 4 latest movies that have been added to the website.,"['Content Management', 'Streaming Services', 'Automation']",User,High,Update
F,System shall allow users to update their billing and contact information via the �My Account� section of the website.,"['User Management', 'Account Settings', 'E-commerce']",User,Low,Update
F,Pre-paid cards shall be distributed via email  or via a printed paper card.,"['Payment Options', 'Pre-paid Services', 'Distribution Channels']",User,Low,Other
F,Only registered customers can purchase streaming movies.,"['Access Control', 'Streaming Services', 'User Management']",Security,Low,Read
F,Movies can only be streamed if the customer has purchased a movie  and is within the 2-day time period to stream the movie.,"['Streaming Services', 'Access Control', 'Digital Rights Management']",Security,Medium,Read
F,Website must be able to support free trial periods with various parameters set by the Izogn Manager.,"['Marketing Promotions', 'Subscription Services', 'Administration']",Admin,High,Create
F,All streaming movie sales will be logged in the database  and accessible by the administrator.,"['Sales Tracking', 'Database Management', 'Administration']",Admin,Low,Create
F,All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.,"['Customer Management', 'Data Storage', 'Account Management']",User,Medium,Update
F,Daily usage statistics should be logged  and accessible by the administrator.,"['Usage Analytics', 'Administrator Access', 'Logging']",Admin,Low,Read
F,The owner shall have free access to all of the streaming movies.,"['Streaming Service', 'Access Control', 'Content Management']",User,Low,Read
PE,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,"['Lead Management', 'Time Constraints', 'Business Hours']",User,High,Other
PE,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,"['Lead Evaluation', 'Time Constraints', 'Performance Metrics']",User,High,Other
PE,For leads that process longer than 25 seconds the system will record the event and duration,"['Lead Processing', 'Event Recording', 'Performance Monitoring']",User,Medium,Create
PE,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,"['Lead Assignment', 'Time Constraints', 'Process Integration']",User,High,Other
O,The lead washing process will operate within the established physical web service structure.,"['Lead Washing', 'Web Service', 'System Integration']",User,Medium,Other
O,The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data.,"['Data Format', 'Lead Processing', 'System Integration']",User,Medium,Other
A,Defect reports will be available to technical units on a 24x7 basis.,"['Defect Reporting', 'Technical Support', 'Availability']",Technical,Low,Read
MN,Washing parameters will be updated during scheduled maintenance hours.,"['Maintenance', 'Washing Parameters', 'Scheduling']",Admin,Low,Update
F,The vendor will verify the invalid lead.,"['Lead Management', 'Vendor Interaction', 'Verification']",Vendor,Medium,Read
F,Vendor will submit a credit validation record to be applied to the enterprise billing system.,"['Credit Validation', 'Billing System', 'Vendor Submission']",Vendor,Medium,Create
F,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,"['Lead Scoring', 'Data Sharing', 'Enterprise System']",System,High,Read
F,The leads washing functionality will validate all leads received by the web service for valid data,"['Lead Validation', 'Data Quality', 'Web Service']",System,High,Read
F,The leads washing functionality will insert all leads captured by the web service.,"['Lead Insertion', 'Web Service', 'Data Capture']",System,Medium,Create
F,If the leads score falls within the high average score then it will be process by the ARA functionality.,"['Lead Scoring', 'ARA Functionality', 'Automation']",System,High,Update
F,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,"['Lead Scoring', 'Manual Verification', 'Enrollment']",Enrollment Coordinator,Medium,Update
F,If the leads score falls within the low average then it will be returned to the supplying vendor,"['Lead Scoring', 'Vendor Interaction', 'Lead Return']",Vendor,Low,Update
F,The leads washing functionality will compile both contact and academic scoring information for a total score.,"['Scoring Information', 'Lead Washing', 'Academic Scoring']",System,High,Read
F,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,"['Lead Management', 'Data Scoring', 'Corporate Parameters']",User,Medium,Update
F,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,"['Lead Management', 'Data Return', 'Vendor Integration']",User,Medium,Read
F,The leads washing functionality will have an interface in which lead data parameters can be maintained.,"['Lead Management', 'Interface Design', 'Data Maintenance']",Admin,High,Create
F,The leads washing functionality will verify the users authentication and rights to make parameter updates.,"['Security Authentication', 'Lead Management', 'User Rights']",Security,High,Other
F,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,"['Lead Management', 'Data Storage', 'Duplicate Detection']",User,Medium,Create
F,Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,"['Lead Management', 'Admissions Assignment', 'Enterprise System']",Admin,Medium,Update
F,The leads washing functionality shall receive a period list of available reps from the enterprise system.,"['Lead Management', 'Rep Assignment', 'Enterprise Integration']",Admin,Medium,Read
LF,The product shall simulate the look of ships at sea.,"['Gaming Simulation', 'Maritime Environment', 'Visual Effects']",User,High,Other
LF,The product shall display the grids within a circle as a view from a periscope.,"['Gaming Visualization', 'Periscope View', 'Grid Display']",User,High,Read
LF,The product shall display each type of ship in a grid using an image of the specific type of ship.,"['Gaming Visualization', 'Ship Classification', 'Grid Display']",User,Medium,Read
LF,When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.,"['Gaming', 'Simulation', 'Audio']",User,Medium,Create
LF,When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target.,"['Gaming', 'Simulation', 'Audio']",User,Medium,Create
LF,When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.,"['Gaming', 'Simulation', 'Audio']",User,Medium,Create
LF,When a ship is sunk  the product shall simulate the sound of a sinking ship.,"['Gaming', 'Simulation', 'Audio']",User,Medium,Create
A,The product shall be available 24 hours per day  seven days per week.,"['Availability', 'Reliability', 'Uptime']",Admin,Low,Other
PE,The product shall able to handle a large number of games simultaneously.,"['Scalability', 'Performance', 'Gaming']",Admin,High,Other
PE,The response time shall be fast enough to maintain the flow of the game.  The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,"['Performance', 'Response Time', 'Gaming']",User,High,Other
PE,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,"['Security', 'Privacy', 'Compliance']",Security,High,Read
US,The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.,"['Usability', 'User Experience', 'Gaming']",User,Medium,Other
US,The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.,"['Localization', 'Internationalization', 'Gaming']",User,Medium,Update
SE,The product shall provide players no access to information that might reveal the identity of another player,"['Security', 'Privacy', 'Anonymity']",Security,Medium,Read
PE,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,"['Performance', 'Response Time', 'Gameplay']",User,High,Other
F,The product shall maintain a list of players.,"['Game Management', 'Player Management', 'Data Storage']",Admin,Low,Create
F,The product shall allow a user to identify himself or herself as a player.,"['User Management', 'Authentication', 'Registration']",User,Medium,Create
F,Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.,"['Gameplay', 'Player Management', 'Game State']",User,Medium,Update
F,The product shall allow a user to remove himself or herself from the list of players at any time.,"['User Management', 'Player Management', 'Registration']",User,Low,Delete
F,The product shall make inactive players unavailable for selection from the list of players.,"['Gameplay', 'Player Management', 'Game State']",User,Medium,Update
F,The product shall remove players who have been inactive for 24 hours from the list of players.,"['Game Management', 'Player Management', 'Data Maintenance']",Admin,Medium,Delete
F,The product shall allow a player to initiate a game by selecting another available player from the list of players.,"['Gameplay', 'Player Management', 'Game State']",User,Medium,Create
F,Once a game is initiated  the product shall display a defensive grid to each player,"['Gameplay', 'Game State', 'User Interface']",User,Medium,Read
F,Once a game is initiated  the product shall display an offensive grid to each player.,"['Gaming', 'Grid Management', 'Player Interface']",User,Medium,Create
F,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,"['Security', 'Gaming', 'Player Isolation']",Security,High,Other
F,Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,"['Gaming', 'Grid Management', 'Ship Placement']",User,Medium,Update
F,The product shall allow a player to position ships horizontally on their grid.,"['Gaming', 'Grid Management', 'Ship Orientation']",User,Low,Update
F,The product shall allow the player to position ships vertically on their grid.,"['Gaming', 'Grid Management', 'Ship Orientation']",User,Low,Update
F,The product shall allow the player to position ships diagonally on their grid,"['Gaming', 'Grid Management', 'Ship Orientation']",User,Low,Update
F,The product shall prevent the player from overlapping ships on their grid.,"['Gaming', 'Grid Management', 'Collision Detection']",User,Medium,Other
F,When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.,"['Gaming', 'Turn Management', 'Player Status']",User,Medium,Create
F,For each turn  the product shall identify one player as offensive status and one player as defensive status.,"['Gaming', 'Turn Management', 'Player Status']",User,Medium,Update
F,The product shall maintain the status of each player for a turn  either offensive or defensive.,"['Gaming', 'Turn Management', 'Player Status']",User,Medium,Read
F,At the start of each turn  the product shall notify each player of his or her status.,"['Gameplay', 'Notification', 'Player Status']",User,Low,Notify
F,For each turn  the product shall allow the offensive player to define a shot.,"['Gameplay', 'Player Action', 'Shot Definition']",User,Medium,Create
F,For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,"['Gameplay', 'Shot Detection', 'Defensive Grid']",User,High,Read
F,For each shot  the product shall notify the players whether the shot was a hit or miss.,"['Gameplay', 'Notification', 'Shot Result']",User,Low,Notify
F,For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,"['Gameplay', 'Defensive Grid', 'Shot Marking']",User,Medium,Update
F,For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,"['Gameplay', 'Offensive Grid', 'Shot Marking']",User,Medium,Update
F,When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.,"['Gameplay', 'Notification', 'Ship Sinking']",User,Low,Notify
F,When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,"['Gameplay', 'Defensive Grid', 'Ship Sinking']",User,Medium,Update
F,When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,"['Gameplay', 'Defensive Grid', 'Ship Type']",User,Medium,Update
F,When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.,"['Gameplay', 'Offensive Grid', 'Ship Sinking']",User,Medium,Update
F,If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,"['Gameplay', 'Shot Tracking', 'Player Action']",User,Medium,Create
F,If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,"['Gameplay', 'Player Status', 'Shot Tracking']",User,Medium,Update
F,If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,"['Gameplay', 'Player Status', 'Shot Tracking']",User,Medium,Update
F,The product shall continue to assign turns until the game is ended.,"['Gameplay', 'Turn Management', 'Game State']",User,Low,Other
F,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player�s ships  which had not been previously marked as sunk.,"['Gameplay', 'Win Condition', 'Ship Tracking']",User,High,Delete
F,The product shall allow a player to end a game at any time during the game.,"['Gameplay', 'Player Action', 'Game State']",User,Low,Delete
F,When a game is ended  the product shall notify the players that the game is ended.,"['Gameplay', 'Notification', 'Game State']",User,Medium,Create
F,The notification of the game ending will include the reason the game is ended (i.e.  a player has won the game or a player has ended the game).,"['Notification', 'Gameplay', 'Game State']",User,Medium,Read
F,When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,"['Player Management', 'Game State', 'Player Action']",User,Medium,Update
F,When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,"['Player Management', 'Game State', 'Player Action']",User,Medium,Delete
US,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,"['Usability', 'User Experience', 'System Efficiency']",User,Low,Other
US,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,"['Usability', 'Learning Curve', 'System Efficiency']",User,Low,Other
PE,The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,"['System Performance', 'Response Time', 'TeleServices']",Admin,Medium,Read
PE,On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.,"['System Performance', 'Network Connection', 'Response Time']",User,Medium,Other
PE,On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.,"['System Performance', 'Network Connection', 'Response Time']",User,Medium,Other
A,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,"['System Availability', 'Uptime', 'Downtime']",Admin,High,Other
A,The system must be available for use between 7:00AM and 11:59PM all days of the year.,"['System Availability', 'Uptime', 'Downtime']",Admin,High,Other
MN,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,"['Cross-Browser Compatibility', 'Internet Explorer', 'Netscape Navigator']",User,Medium,Other
SE,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,"['Access Control', 'Supervisor Role', 'Time Slot Management']",Security,Medium,Create
SE,The product shall ensure that only supervisors can enter a caller�s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,"['Access Control', 'Supervisor Role', 'Caller Schedule']",Security,Medium,Update
SE,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,"['Security', 'Access Control', 'Scheduling']",Supervisor,Medium,Read
LF,The interface shall have a simple look. In the interface and usability survey  90% of beta testers must report that the interface is adequately simple.,"['Usability', 'User Experience', 'Interface Design']",User,Low,Other
LF,The interface shall be appealing to callers and supervisors. In the interface and usability survey  80% of beta testers must report that the interface is appealing.,"['Usability', 'User Experience', 'Interface Design']",User,Low,Other
LF,The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,"['Monitoring', 'System Administration', 'Technical Support']",System Administrator,High,Read
LF,The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,"['Compliance', 'Framework', 'Interface Design']",Developer,Medium,Other
US,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,"['Monitoring', 'Usability', 'System Administration']",System Administrator,Medium,Read
US,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,"['Error Handling', 'Technical Support', 'System Administration']",System Administrator,High,Update
US,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),"['Reporting', 'Analytics', 'System Administration']",System Administrator,Medium,Read
PE,The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,"['Messaging', 'Performance Optimization', 'System Architecture']",System Administrator,High,Create
PE,The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,"['Performance Optimization', 'Scalability', 'System Architecture']",System Administrator,High,Create
PE,The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,"['Real-time Processing', 'Message Handling', 'Performance']",User,Medium,Read
